Number,Transaction
20231,<font color="Red">[2015-01-20 17:28:57] - Game 692 - Rick Nash from Maple Leafs is injured  (Strained Right Knee) and is out for 2 months.</font>
20232,<font color="Red">[2015-01-20 17:28:57] - Game 693 - Steve Oleksy from Penguins is injured  (Back Spasms) and is out for 2 weeks.</font>
20233,<font color="Red">[2015-01-20 17:28:57] - Game 693 - Ryan McDonagh from Blackhawks is injured  (Right Knee) and is out for 6 days.</font>
20234,<font color="Red">[2015-01-20 17:28:57] - Game 697 - Sean Couturier from Sharks is injured  (Sprained Left Finger) and is out for 2 weeks.</font>
20235,[2015-01-20 17:28:58] - Ducks lines for next game are empty. Current rosters/lines are not erased.
20236,[2015-01-20 17:28:58] - Bruins lines for next game are empty. Current rosters/lines are not erased.
20237,[2015-01-20 17:28:58] - IceHogs lines for next game are empty. Current rosters/lines are not erased.
20238,[2015-01-20 17:28:58] - Falcons lines for next game are empty. Current rosters/lines are not erased.
20239,[2015-01-20 17:28:58] - Kings lines for next game are empty. Current rosters/lines are not erased.
20240,[2015-01-20 17:28:58] - Bulldogs lines for next game are empty. Current rosters/lines are not erased.
20241,[2015-01-20 17:28:58] - Senators lines for next game are empty. Current rosters/lines are not erased.
20242,[2015-01-20 17:28:58] - Pirates lines for next game are empty. Current rosters/lines are not erased.
20243,[2015-01-20 17:28:58] - Penguins lines for next game are empty. Current rosters/lines are not erased.
20244,[2015-01-20 17:28:58] - Sharks lines for next game are empty. Current rosters/lines are not erased.
20245,[2015-01-20 17:28:58] - Sharks lines for next game are empty. Current rosters/lines are not erased.
20246,[2015-01-20 17:28:58] - Wolves lines for next game are empty. Current rosters/lines are not erased.
20247,<font color="#0080C0">[2015-01-20 17:28:58] - Mike Richards was not claimed from waiver and was sent to farm.</font>
20248,<font color="Red">[2015-01-20 17:28:58] - Ryan McDonagh from Blackhawks is back from Right Knee Injury.</font>
20249,<font color="Red">[2015-01-20 17:28:58] - Steve Ott from Lightning is back from Right Hand Injury.</font>
20250,<font color="Red">[2015-01-20 17:28:58] - Alex Chiasson from Flyers is back from Upper Body Injury.</font>
20251,[2015-01-20 17:29:26] - Current fund for Jets is under 0 kr.
20252,[2015-01-20 17:29:26] - Current fund for Panthers is under 0 kr.
20253,[2015-01-20 17:29:27] - Current fund for Senators is under 0 kr.
20254,[2015-01-20 17:29:27] - Current fund for Penguins is under 0 kr.
20255,[2015-01-20 17:29:28] - Current fund for Canucks is under 0 kr.
20256,<font color="#FF8000">[2015-01-20 17:31:41] - Brent Seabrook was added to Maple Leafs.</font>
20257,<font color="#FF8000">[2015-01-20 17:31:41] - Jonas Brodin was added to Flames.</font>
20258,<font color="#FF8000">[2015-01-20 17:31:41] - TRADE : From Flames to Maple Leafs : Brent Seabrook (73).</font>
20259,<font color="#FF8000">[2015-01-20 17:31:41] - TRADE : From Maple Leafs to Flames : Jonas Brodin (67)- Adam Lowry (P)- Y:2015-RND:2-WSH- Y:2015-RND:5-NYR.</font>
20260,<font color="#FF8000">[2015-01-20 17:32:14] - Derek Morris was added to Ducks.</font>
20261,<font color="#FF8000">[2015-01-20 17:32:15] - TRADE : From Ducks to Sabres : Y:2015-RND:3-ANH- Y:2015-RND:5-PIT- Y:2015-RND:5-ANH- Y:2015-RND:7-ANH.</font>
20262,<font color="#FF8000">[2015-01-20 17:32:15] - TRADE : From Sabres to Ducks : Derek Morris (66)- Y:2016-RND:3-OTT.</font>
20263,[2015-01-20 17:32:18] - Ducks are expected to be over the salary cap by 679.589 kr!
20264,[2015-01-20 17:32:23] - Ducks are expected to be over the salary cap by 679.589 kr!
20265,[2015-01-20 17:32:24] - Ducks roster errors : Too many Players available in Pro Team! 19 Dressed. Maximum is 18.
Some errors will be automatically fixed.

20266,[2015-01-20 17:32:29] - Jacob Trouba of Ducks was sent to farm.
20267,<font color="#FF8000">[2015-01-20 17:33:23] - Olli Maatta was added to Jets.</font>
20268,<font color="#FF8000">[2015-01-20 17:33:23] - Jamie Oleksiak was added to Maple Leafs.</font>
