Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
325,30,False,30,0,13,0,False,False,OTHL-PRE-325.html,
326,30,False,3,0,16,0,False,False,OTHL-PRE-326.html,
327,30,False,12,0,29,0,False,False,OTHL-PRE-327.html,
328,30,False,1,0,5,0,False,False,OTHL-PRE-328.html,
329,30,False,17,0,26,0,False,False,OTHL-PRE-329.html,
330,31,False,6,0,20,0,False,False,OTHL-PRE-330.html,
331,31,False,28,0,22,0,False,False,OTHL-PRE-331.html,
332,31,False,9,0,27,0,False,False,OTHL-PRE-332.html,
333,31,False,12,0,23,0,False,False,OTHL-PRE-333.html,
334,31,False,21,0,11,0,False,False,OTHL-PRE-334.html,
335,31,False,15,0,8,0,False,False,OTHL-PRE-335.html,
336,31,False,4,0,19,0,False,False,OTHL-PRE-336.html,
337,31,False,24,0,30,0,False,False,OTHL-PRE-337.html,
338,31,False,14,0,25,0,False,False,OTHL-PRE-338.html,
339,31,False,31,0,2,0,False,False,OTHL-PRE-339.html,
340,31,False,1,0,7,0,False,False,OTHL-PRE-340.html,
341,32,False,3,0,6,0,False,False,OTHL-PRE-341.html,
342,32,False,17,0,12,0,False,False,OTHL-PRE-342.html,
343,32,False,14,0,10,0,False,False,OTHL-PRE-343.html,
344,32,False,18,0,13,0,False,False,OTHL-PRE-344.html,
345,32,False,9,0,16,0,False,False,OTHL-PRE-345.html,
346,32,False,26,0,29,0,False,False,OTHL-PRE-346.html,
347,32,False,4,0,20,0,False,False,OTHL-PRE-347.html,
348,32,False,30,0,22,0,False,False,OTHL-PRE-348.html,
349,32,False,23,0,5,0,False,False,OTHL-PRE-349.html,
350,32,False,21,0,28,0,False,False,OTHL-PRE-350.html,
351,33,False,13,0,27,0,False,False,OTHL-PRE-351.html,
352,33,False,28,0,11,0,False,False,OTHL-PRE-352.html,
353,33,False,7,0,8,0,False,False,OTHL-PRE-353.html,
354,33,False,15,0,31,0,False,False,OTHL-PRE-354.html,
355,33,False,2,0,1,0,False,False,OTHL-PRE-355.html,
356,33,False,6,0,24,0,False,False,OTHL-PRE-356.html,
357,33,False,22,0,18,0,False,False,OTHL-PRE-357.html,
358,33,False,19,0,3,0,False,False,OTHL-PRE-358.html,
359,33,False,23,0,17,0,False,False,OTHL-PRE-359.html,
360,33,False,10,0,25,0,False,False,OTHL-PRE-360.html,
361,33,False,16,0,9,0,False,False,OTHL-PRE-361.html,
362,33,False,5,0,14,0,False,False,OTHL-PRE-362.html,
363,33,False,4,0,21,0,False,False,OTHL-PRE-363.html,
364,33,False,29,0,26,0,False,False,OTHL-PRE-364.html,
365,34,False,25,0,15,0,False,False,OTHL-PRE-365.html,
366,34,False,20,0,30,0,False,False,OTHL-PRE-366.html,
367,34,False,1,0,12,0,False,False,OTHL-PRE-367.html,
368,34,False,8,0,2,0,False,False,OTHL-PRE-368.html,
369,34,False,27,0,19,0,False,False,OTHL-PRE-369.html,
370,34,False,11,0,6,0,False,False,OTHL-PRE-370.html,
371,34,False,21,0,4,0,False,False,OTHL-PRE-371.html,
372,34,False,31,0,23,0,False,False,OTHL-PRE-372.html,
373,34,False,17,0,10,0,False,False,OTHL-PRE-373.html,
374,34,False,14,0,7,0,False,False,OTHL-PRE-374.html,
375,35,False,28,0,24,0,False,False,OTHL-PRE-375.html,
376,35,False,9,0,18,0,False,False,OTHL-PRE-376.html,
