Team Number,Prospect Name,Year,Overall Pick
20,Peter MacArthur,0, 0 
7,Eric Tangradi,0, 0 
15,Ben Ryan,0, 0 
6,Matt Rust,0, 0 
23,Jesse Martin,0, 0 
23,Oscar Lindberg,2010, 60 
4,Mac Bennett,2009, 84 
28,Philip Samuelsson,2009, 85 
13,Sami Vatanen,2009, 86 
6,Robin Figren,0, 0 
30,Travis Boyd,2011, 162 
16,Petr Placek,2011, 163 
21,Andrew Fritsch,2011, 164 
19,Darren Kramer,2011, 165 
29,Jeremy Smith,0, 0 
16,Reilly Smith,2009, 87 
10,Jase Weslosky,0, 0 
22,Jeremy Duchesne,0, 0 
17,Jason Kasdorf,2011, 166 
13,Lukas Sedlak,2011, 167 
21,Ted Ruth,0, 0 
30,Philipp Grubauer,2010, 61 
24,Cody Wild,0, 0 
24,Andrew Bodnarchuk,0, 0 
12,Patrick McNeill,0, 0 
13,Alexei Yemelin,0, 0 
22,Paul Baier,0, 0 
17,Maxim Gratchev,0, 0 
8,Matej Stransky,2011, 168 
15,Ryan Martindale,2010, 62 
19,Max McCormick,2011, 169 
26,Patrik Westerholm,2011, 170 
16,Laurent Brossoit,2011, 171 
27,Craig Cunningham,2010, 63 
12,Brad Navin,2011, 172 
15,Trevor Nill,0, 0 
15,Steven Zalewski,0, 0 
25,Reece Scarlett,2011, 173 
27,Jakub Culek,2010, 64 
8,Dan Gendur,0, 0 
15,Spencer Machacek,0, 0 
9,Henrik Tommernes,2011, 174 
15,Sergei Gayduchenko,0, 0 
4,Ryan Bourque,2009, 88 
15,Atte Engren,0, 0 
4,Jerry Damigo,2009, 89 
21,Josh Manson,2011, 175 
17,Josh Godfrey,0, 0 
26,Nick Petrecki,0, 0 
1,Henrik Bjorklund,2009, 90 
1,Curtis Hamilton,2010, 66 
6,Richard Nedomlel,2011, 176 
15,Jonas Ahnelov,0, 0 
17,Kevin Montgomery,0, 0 
21,Carl Sneep,0, 0 
27,Ryan Tesink,2011, 177 
24,Colin Sullivan,2011, 178 
9,Matthew Peca,2011, 179 
8,Sam Jardine,2011, 180 
16,Nathan Davis,0, 0 
16,Olivier Fortier,0, 0 
30,Mattias Lindstrom,2009, 91 
14,Ilja Kablukov,0, 0 
16,Brad Malone,0, 0 
16,Jordan LaVallee,0, 0 
16,Andrew Conboy,0, 0 
16,Jimmy Bonneau,0, 0 
18,Garrett Sparks,2011, 182 
14,David Fischer,0, 0 
16,Konstantin Korneev,0, 0 
10,Gleason Fournier,2009, 92 
16,Jakub Vojta,0, 0 
3,Jean-Francois Berube,2009, 93 
17,Sergei Andronov,2009, 94 
16,Scott Kishel,0, 0 
16,Pavel Valentenko,0, 0 
16,Drew Schiestel,0, 0 
15,Frans Tuohimaa,2011, 183 
16,Cade Fairchild,0, 0 
16,Joe Stejskal,0, 0 
14,Peter Ceresnak,2011, 184 
16,Tomas Linhart,0, 0 
16,Myles Stoesz,0, 0 
17,William Sweatt,0, 0 
17,Dennis Robertson,2011, 185 
17,Luke Gazdic,0, 0 
20,Josh Archibald,2011, 186 
19,Dylan Demelo,2011, 187 
15,Alexander Killorn,0, 0 
19,Johan Larsson,2010, 67 
12,Patrick Daly,2011, 188 
29,Brent Andrews,2011, 189 
29,Iiro Pakarinen,2011, 190 
3,Jyrki Jokipakka,2011, 191 
16,Tyler Graovac,2011, 192 
10,Teemu Eronen,2011, 193 
21,Brody Sutter,2011, 194 
5,Colin Blackwell,2011, 195 
17,Zac Larraza,2011, 196 
17,Denis Reul,0, 0 
8,Tommy Cross,0, 0 
27,Seth Helgeson,2009, 95 
29,Alexander Broadhurst,2011, 197 
8,Alex Velischek,2009, 96 
19,Connor Brickley,2010, 68 
17,Anthony Peluso,0, 0 
17,Olivier Magnan,0, 0 
24,Anton Forsberg,2011, 198 
17,Zack Fitzgerald,0, 0 
15,Jordan Fransoo,2011, 199 
20,Denis Parshin,0, 0 
27,Kevin Connauton,2009, 97 
7,Jason Zucker,2010, 69 
20,Max Warn,0, 0 
30,Troy Hesketh,2009, 98 
8,Adam Morrison,2009, 99 
26,Erik Haula,2009, 100 
15,Marek Zagrapan,0, 0 
27,Tom Kuehnhackl,2010, 70 
13,Michael Schumacher,2011, 200 
20,Adam Courchaine,0, 0 
28,Juraj Mikus,0, 0 
6,Johan Mattsson,2011, 201 
29,Andy Sackrison,0, 0 
28,Philip Lane,2010, 71 
22,Mark Alt,2010, 72 
8,Gaelan Patterson,2009, 101 
19,Igor Makarov,0, 0 
7,Andrei Popov,0, 0 
14,Nick Dodge,0, 0 
14,Stanislav Lascek,0, 0 
23,Michael Blunden,0, 0 
20,Brock Beukeboom,2010, 73 
15,Brendan Gallagher,2010, 74 
23,Richard Bachman,0, 0 
11,Justin Holl,2010, 75 
14,David Brown,0, 0 
19,Yuri Alexandrov,0, 0 
29,Max Everson,2011, 202 
20,Andy Rogers,0, 0 
20,Cody Blanshan,0, 0 
20,Mike Egener,0, 0 
1,Maxwell Reinhart,2010, 76 
12,Taylor Aronson,2010, 77 
28,Kent Simpson,2010, 78 
20,Anton Belov,0, 0 
14,Tomas Zaborsky,0, 0 
10,Cameron Abney,2009, 102 
17,Ryan Dzingel,2011, 203 
16,Max Gardiner,2010, 79 
14,Roman Wick,0, 0 
30,Garrett Haar,2011, 204 
5,Derek Mathers,2011, 205 
29,Alex Berry,0, 0 
16,Joe Basaraba,2010, 80 
27,Maxim Kitsyn,2010, 81 
10,Ondrej Palat,2011, 206 
20,Ken Roche,0, 0 
25,Dillon Donnelly,2011, 207 
29,Mitchell Theoret,2011, 208 
27,Matt MacKenzie,2010, 82 
29,Marc Cheverie,0, 0 
17,Aaron Harstad,2011, 209 
14,Kirill Lyamin,0, 0 
23,Corey Potter,0, 0 
13,Bryan Rust,2010, 83 
20,Louis-Marc Aubry,2010, 84 
27,Patrick McNally,2010, 85 
20,Kris Fredheim,0, 0 
19,Ryan McGinnis,0, 0 
29,Scott Wilson,2011, 210 
20,Phillipe Furrer,0, 0 
1,David Savard,2009, 104 
20,Steven Regier,0, 0 
17,Kieran Millan,2009, 105 
12,Craig Smith,2009, 106 
16,Tyler Shattock,2009, 107 
10,Danny Biega,2010, 86 
29,Kevin Sundher,2010, 87 
27,Patrick Cehlin,2010, 88 
18,Louie Caporusso,0, 0 
18,Radko Gudas,2010, 89 
28,Linden Vey,2009, 108 
4,Jimmy Bubnick,2009, 109 
12,Sami Aittokallio,2010, 90 
22,Bobby Hughes,0, 0 
22,Kirill Starkov,0, 0 
20,David McIntyre,0, 0 
1,Spencer Bennett,2009, 110 
29,Marcus Foligno,2009, 111 
7,Edward Pasquale,2009, 112 
10,Marc-Andre Cliche,0, 0 
18,Max Gaede,2010, 113 
20,Bryan Cameron,0, 0 
3,Ben Chiarot,2009, 113 
22,Joseph Palmer,0, 0 
22,Alex Kangas,0, 0 
22,Niko Hovinen,0, 0 
12,Mattias Ekholm,2009, 114 
23,Marcus Kruger,2009, 115 
8,Scott Darling,0, 0 
10,Logan Pyett,0, 0 
22,Patrik Hersley,0, 0 
18,Daniel Delisle,2009, 116 
17,Casey Cizikas,2009, 117 
8,Alexander Fallstrom,2009, 118 
10,Kristopher Foucault,2009, 119 
15,Eric Knodel,2009, 120 
7,Brett MacLean,0, 0 
1,Michael Ferland,2010, 114 
11,Patrick White,0, 0 
10,Jordan Szwarz,2009, 121 
11,Brad Schell,0, 0 
28,Scott Stajcer,2009, 122 
27,Matt Kennedy,2009, 123 
15,Geoffrey Schemitsch,2010, 115 
11,Jake Hansen,0, 0 
14,Jonathan Rheault,0, 0 
19,Jani Hakanpaa,2010, 116 
12,Gabriel Dumont,2009, 124 
11,Kyle Bigos,2009, 125 
16,Chris Summers,0, 0 
9,Grant Lewis,0, 0 
20,James Delory,0, 0 
5,Jeremie Blain,2010, 117 
14,Zach Trotman,2010, 118 
27,Nicola Riopel,2009, 126 
18,David Gilbert,2009, 127 
5,Justin Weller,2009, 128 
24,Petr Kalus,0, 0 
30,Radoslav Illo,2009, 129 
19,Petter Granberg,2010, 119 
29,Andrew Yogan,2010, 120 
6,Carl Hagelin,0, 0 
29,Zach Hyman,2010, 121 
27,Jonathan Iilahti,2010, 122 
4,Byron Froese,2009, 130 
11,Sam Brittain,2010, 123 
30,Frederik Pettersson-Wentzel,2010, 124 
24,Nikolai Lemtyugov,0, 0 
24,Luke Walker,2010, 125 
15,Garrett Wilson,2009, 131 
1,Roman Horak,2009, 132 
12,Cody Ferriero,2010, 126 
24,Will Weber,0, 0 
10,Philip Varone,2009, 133 
5,Nick Oliver,2009, 134 
5,Benjamin Gallacher,2010, 127 
7,Robert Bortuzzo,0, 0 
10,Jeremy Price,2009, 135 
19,Daniel Brodin,2010, 128 
8,Will ONeill,0, 0 
29,Tim Heed,2010, 129 
7,Austin Madaisky,2010, 130 
11,Mathieu Corbeil-Theriault,2010, 131 
