Number,Transaction,DateTime,Empty
20169,Auto Roster Partial Function has been run for Sharks.,2021-12-06 8:41:45 AM,
20170,Auto Lines Partial Function has been run for Sharks.,2021-12-06 8:41:45 AM,
20171,Marlies roster errors : Too many Players available in Farm Team! 18 Dressed. Maximum is 17.
Some errors will be automatically fixed.
,2021-12-06 8:41:45 AM,
20172,Auto Roster Farm Only Function has been run for Maple Leafs.,2021-12-06 8:41:45 AM,
20173,Auto Lines Farm Function has been run for Marlies.,2021-12-06 8:41:45 AM,
20174,Game 90 - Jaccob Slavin from Flames is injured  (Left Foot) and is out for 2 weeks.,2021-12-06 8:41:50 AM,
20175,Game 91 - Dustin Brown from Penguins is injured  (Right Hand) and is out for 2 days.,2021-12-06 8:41:51 AM,
20176,Game 92 - Nicklas Backstrom from Golden Knights is injured  (Sprained Left Ankle) and is out for 1 month.,2021-12-06 8:41:51 AM,
20177,Jonah Gadjovich from Monsters has scored a Hat Trick!,2021-12-06 8:41:53 AM,
20178,Ryan Poehling from Stars has scored a Hat Trick!,2021-12-06 8:41:53 AM,
20179,Gulls lines for next game are empty. Current rosters/lines are not erased. But- Ducks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-06 8:41:53 AM,
20180, Americans lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 8:41:53 AM,
20181,Heat lines for next game are empty. Current rosters/lines are not erased. But- Flames lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-06 8:41:53 AM,
20182,Monsters lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 8:41:53 AM,
20183,Stars lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 8:41:53 AM,
20184,Griffins lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 8:41:53 AM,
20185,Reign lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 8:41:53 AM,
20186,Wild lines for next game are empty. Current rosters/lines are not erased. But- Wild lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-06 8:41:53 AM,
20187,Alexander Romanov of Wild was sent to farm.,2021-12-06 8:41:53 AM,
20188,Comets lines for next game are empty. Current rosters/lines are not erased. But- Devils lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-06 8:41:53 AM,
20189,Senators lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 8:41:53 AM,
20190,Roadrunners lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 8:41:53 AM,
20191,Rampage  lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 8:41:53 AM,
20192,Crunch lines for next game are empty. Current rosters/lines are not erased. But- Lightning lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-06 8:41:53 AM,
20193,Canucks lines for next game are empty. Current rosters/lines are not erased. But- Canucks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-06 8:41:53 AM,
20194,Bears lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 8:41:53 AM,
20195,Dustin Brown from Penguins is back from Right Hand Injury.,2021-12-06 8:41:53 AM,
20196,Avalanche are expected to be under the minimum salary cap by $1-026-528!,2021-12-06 8:41:57 AM,
20197,Oilers are expected to be over the salary cap by $1-116-870!,2021-12-06 8:41:58 AM,
20198,Wild are expected to be under the minimum salary cap by $9-504-295!,2021-12-06 8:41:58 AM,
20199,Senators are expected to be under the minimum salary cap by $4-042-052!,2021-12-06 8:41:59 AM,
20200,Flyers are expected to be over the salary cap by $56-574!,2021-12-06 8:42:00 AM,
20201,Capitals are expected to be under the minimum salary cap by $3-030-778!,2021-12-06 8:42:00 AM,
20202,Avalanche are expected to be under the minimum salary cap by $1-026-528!,2021-12-06 8:42:24 AM,
20203,Oilers are expected to be over the salary cap by $1-116-870!,2021-12-06 8:42:24 AM,
20204,Wild are expected to be under the minimum salary cap by $9-504-295!,2021-12-06 8:42:25 AM,
20205,Senators are expected to be under the minimum salary cap by $4-042-052!,2021-12-06 8:42:25 AM,
20206,Flyers are expected to be over the salary cap by $56-574!,2021-12-06 8:42:26 AM,
20207,Capitals are expected to be under the minimum salary cap by $3-030-778!,2021-12-06 8:42:26 AM,
20208,Red Wings placed Joel Hanley on waivers.,2021-12-06 10:03:58 PM,
20209,Joel Hanley of Red Wings was sent down to farm.,2021-12-06 10:04:12 PM,
20210,Christian Fischer of Coyotes was sent to pro.,2021-12-06 10:04:12 PM,
20211,Lias Andersson of Golden Knights was sent to pro.,2021-12-06 10:04:12 PM,
20212,Red Wings placed Mackenzie MacEachern on waivers.,2021-12-06 10:04:12 PM,
20213,Mackenzie MacEachern of Red Wings was sent down to farm.,2021-12-06 10:04:13 PM,
20214,Mathieu Joseph of Red Wings was sent down to farm.,2021-12-06 10:04:13 PM,
